latent,homology,tumor_features,normal_features,tumor_mean_pers,normal_mean_pers,tumor_max_pers,normal_max_pers,wasserstein,bottleneck
16d_cosine,H0,1101,112,0.19160319893510097,0.3695316048272486,1.8536759614944458,2.259885787963867,121.66876120010875,0.44814491271972656
16d_cosine,H1,488,20,0.02386320373196094,0.08303127884864807,0.8660504817962646,0.3215458393096924,8.155886500146861,0.4330252408981323
32d_cosine,H0,1101,112,0.2673497707071248,0.3939866122922727,3.0316154956817627,3.271716833114624,177.7404417624045,0.6408840417861938
32d_cosine,H1,517,9,0.03281682058160033,0.04066287146674262,0.4037442207336426,0.12624868750572205,11.739840573927633,0.2018721103668213
64d_cosine,H0,1101,112,0.26888203157364077,0.4655541110052062,3.1804745197296143,6.945786476135254,182.28399125947516,3.472893238067627
64d_cosine,H1,429,12,0.029396896317844347,0.03595338265101115,0.27007538080215454,0.06374940276145935,8.644738796088978,0.13503769040107727
16d_pearson,H0,1101,112,0.13270777086985316,0.2343083466070571,2.5720691680908203,4.5050578117370605,89.07143478727883,1.9329886436462402
16d_pearson,H1,427,0,0.015278066174766219,0.0,0.11049020290374756,0.0,4.612976731518643,0.05524510145187378
16d_euclidean,H0,1101,112,0.12997034704016622,0.3460663276657994,2.4843978881835938,3.0918636322021484,76.10580850417692,0.6074657440185547
16d_euclidean,H1,553,12,0.012002000271950666,0.041496227184931435,0.2776457667350769,0.10823196172714233,4.381606547923592,0.10799872875213623
