latent_dim,dim_idx,tumor_mean,normal_mean,diff,cohens_d,mann_whitney_p,p_adjusted,significant
z15,15,-0.44634379132332125,-0.779556216902655,0.3332124255793337,0.8180301153763692,6.481428292638121e-20,2.074057053644199e-18,***
z26,26,0.22072149287750453,0.6056872592345134,-0.38496576635700885,0.8114892748244288,2.2361352626581006e-16,7.155632840505922e-15,***
z18,18,-0.2985313340722323,0.05398749440575221,-0.35251882847798455,0.7581995443672048,7.114510341312598e-11,2.2766433092200313e-09,***
z0,0,-0.04695204504355717,0.5426903330115045,-0.5896423780550617,0.7364591080148991,2.81054559930674e-07,8.993745917781569e-06,***
z9,9,0.1747025083395644,-0.4308127320265487,0.605515240366113,0.7342962861949581,2.0054536184730795e-06,6.417451579113855e-05,***
z7,7,0.014042390499745917,0.464962191438938,-0.4509198009391921,0.7231436590041372,2.486188667120991e-11,7.955803734787171e-10,***
z4,4,-0.2140583953061706,0.12304571488495575,-0.33710411019112635,0.7169581621102211,4.3417707684894636e-08,1.3893666459166284e-06,***
z25,25,-0.18121274571551724,-1.0008235138849557,0.8196107681694385,0.7104579187343008,1.0333248202262818e-06,3.306639424724102e-05,***
z8,8,0.39100056524301274,1.3933641619026549,-1.002363596659642,0.7035350386416155,8.289397619255995e-06,0.00026526072381619184,***
z11,11,-0.2963334620530853,0.2709757551946903,-0.5673092172477756,0.7034924057142597,3.916242673917702e-06,0.00012531976556536646,***
z31,31,0.31400777510862066,-0.059347797973451334,0.373355573082072,0.6951788576614989,5.352174848824887e-08,1.7126959516239638e-06,***
z12,12,-0.3710901414011706,-0.90106073149646,0.5299705900952895,0.6901026814089929,6.6327580455092764e-06,0.00021224825745629685,***
z21,21,0.3999493755021778,-0.2505610964867257,0.6505104719889034,0.6872174118265701,9.976894365376145e-09,3.1926061969203665e-07,***
z20,20,-0.34173483789698733,-1.1116339010902656,0.7698990631932783,0.6785628450612765,5.971827131735443e-09,1.910984682155342e-07,***
z30,30,0.41002705000596185,1.0324085648495576,-0.6223815148435957,0.6743683902312464,2.348148985985026e-08,7.514076755152083e-07,***
z14,14,0.02196117465063521,0.8142044223628319,-0.7922432477121967,0.6681082828699011,3.910937003357253e-06,0.0001251499841074321,***
z29,29,0.371646527646225,0.979563375278761,-0.6079168476325361,0.6654234592411117,5.120412305761153e-08,1.638531937843569e-06,***
z1,1,0.050395121801179686,0.5444349436902655,-0.4940398218890858,0.6597667627511775,7.570131254190105e-06,0.00024224420013408337,***
z19,19,0.6446183183030854,1.0586606153097347,-0.4140422970066493,0.6567787047229618,3.5677047533955323e-07,1.1416655210865704e-05,***
z3,3,0.02550157153039927,0.5354885371761061,-0.5099869656457069,0.654636499695352,8.184159801713345e-09,2.61893113654827e-07,***
z28,28,-0.15663811194255536,-0.4166061852743363,0.25996807333178096,0.6314261419894908,1.3011442942590124e-06,4.1636617416288396e-05,***
z17,17,0.4313906500116152,-0.09446747295575225,0.5258581229673674,0.6211605165377938,2.8418174118586926e-06,9.093815717947816e-05,***
z23,23,0.5997154766515426,0.9346291150442478,-0.33491363839270527,0.6095006862181253,1.7013713043998492e-08,5.444388174079517e-07,***
z10,10,-0.3184280278303993,-0.4250869244778761,0.1066588966474768,0.6055837699696319,0.0004457281418205882,0.014263300538258823,*
z16,16,-0.10509843245326678,0.23214396814159294,-0.3372424005948597,0.5619995748769352,3.317374054517796e-06,0.00010615596974456947,***
z6,6,-0.3164618328658802,0.24247182431858408,-0.5589336571844643,0.5536731422211354,5.79156702851378e-08,1.8533014491244096e-06,***
z5,5,-0.5794465665902541,-0.7361738932743362,0.15672732668408218,0.492029065362395,0.00010281424142630761,0.0032900557256418436,**
z13,13,0.25774074276153724,0.4603288025265487,-0.20258805976501143,0.4750919722092243,0.12273895773978426,1.0,ns
z2,2,0.06455902557709618,-0.03218409554070797,0.09674312111780414,0.4270738034523893,0.0017415587221453273,0.055729879108650474,ns
z27,27,-0.015600376628656985,-0.07531249177433628,0.0597121151456793,0.2668678159048652,0.2653674476745398,1.0,ns
z24,24,0.30615744621823954,0.3489309800176992,-0.04277353379945964,0.26242560712259566,0.00020897782266646905,0.0066872903253270095,**
z22,22,-0.4770858531483757,-0.5032745603163716,0.026188707167995928,0.09755478833456462,0.5601727511932608,1.0,ns
