gene_set,n_features,classifier,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std
TDA_top20,20,LogisticRegression,0.9873939870870817,0.005061545683811071,0.9814879787750412,0.004781719513052281,0.9662551440329217,0.0087877187259517
TDA_top20,20,RandomForest,0.9791273943447857,0.007718213294031775,0.9786897809611199,0.005637543348759363,0.9604938271604938,0.010604196482901335
TDA_top20,20,GradientBoosting,0.9785371917085472,0.01210195904740562,0.9802810202910044,0.006571604012218831,0.9637860082304528,0.012040114270228624
TDA_top50,50,LogisticRegression,0.9975066621358183,0.0021603576844475645,0.9922901746834093,0.004210291326565918,0.9860082304526749,0.0076326078152228125
TDA_top50,50,RandomForest,0.9933941122815803,0.003575898568105027,0.9900979828507885,0.004135538340091784,0.9818930041152264,0.007632607815222796
TDA_top50,50,GradientBoosting,0.9908343319085006,0.003481894271129734,0.9909603758343254,0.004711729676332721,0.9835390946502057,0.008632171589877771
TDA_top100,100,LogisticRegression,0.9987747035573122,0.0014597774950687566,0.9950133713158923,0.005435542322805679,0.9909465020576131,0.009876543209876552
TDA_top100,100,RandomForest,0.9959180333732764,0.0033784561476020492,0.9936875606708014,0.003869733140796593,0.988477366255144,0.007080103100446618
TDA_top100,100,GradientBoosting,0.9934049326632447,0.007315048456573423,0.9914035382829895,0.004159006039364812,0.9843621399176955,0.007543334477293573
TDA_top200,200,LogisticRegression,0.9993280632411068,0.0008440378064846837,0.9963635327979693,0.0036891433923092283,0.9934156378600824,0.0066864513618403185
TDA_top200,200,RandomForest,0.9977894228533615,0.0012685454543153395,0.9918999397308144,0.004396370449765176,0.9851851851851852,0.008064163762249138
TDA_top200,200,GradientBoosting,0.9961055568472448,0.002313940807860113,0.9936732605516017,0.0016855216600949671,0.988477366255144,0.0030795534047522483
Euclidean_top20,20,LogisticRegression,0.9997628458498025,0.0003832157990051977,0.996353173733468,0.003994845152174498,0.9934156378600824,0.007175142293894123
Euclidean_top20,20,RandomForest,0.9996837944664032,0.00040694190280577124,0.9968232655931974,0.0027273849580691754,0.9942386831275721,0.004938271604938279
Euclidean_top20,20,GradientBoosting,0.9707255915440058,0.0441458723669114,0.9940914360565556,0.004220463994957587,0.9893004115226336,0.007632607815222817
Euclidean_top50,50,LogisticRegression,1.0,0.0,0.9990867579908675,0.0018264840182648622,0.9983539094650207,0.003292181069958833
Euclidean_top50,50,RandomForest,1.0,0.0,0.9986394371265443,0.0011109139748757962,0.997530864197531,0.002016040940562277
Euclidean_top50,50,GradientBoosting,0.9847406685386225,0.0266737226023191,0.996375837735806,0.0022991027839628472,0.9934156378600824,0.0041967238795002455
Euclidean_top100,100,LogisticRegression,0.9999604743083005,7.905138339920903e-05,0.9981734875491005,0.0026679287736858298,0.9967078189300412,0.004799137362012613
Euclidean_top100,100,RandomForest,0.9999604743083005,7.905138339920903e-05,0.9977344644467205,0.002028204572128453,0.9958847736625515,0.0036807703333329705
Euclidean_top100,100,GradientBoosting,0.9847011428469228,0.026654589052542442,0.9959160820332681,0.0026452974340284274,0.9925925925925926,0.004799137362012616
Euclidean_top200,200,LogisticRegression,1.0,0.0,0.9981734875491005,0.0026679287736858298,0.9967078189300412,0.004799137362012613
Euclidean_top200,200,RandomForest,0.9999407114624507,0.00011857707509883575,0.9986415078852054,0.0018104688671608654,0.997530864197531,0.003292181069958833
Euclidean_top200,200,GradientBoosting,0.9844047001591758,0.026674556085649063,0.9959118410000853,0.003355265834057,0.9925925925925926,0.006048122821686883
TDA_only_ns,37,LogisticRegression,0.6893765313969917,0.031908536045233096,0.9475857144000068,0.0033456637827274584,0.9004115226337449,0.006048122821686832
TDA_only_ns,37,RandomForest,0.9902808828000644,0.009699695710720664,0.983952234024344,0.005831843362403631,0.9703703703703702,0.010856712722858368
TDA_only_ns,37,GradientBoosting,0.9928910986711499,0.01055704328857926,0.9928008452631639,0.0038535762548117256,0.9868312757201647,0.007080103100446618
Combined_top100,200,LogisticRegression,0.9999209486166007,9.681777639459146e-05,0.9977179113792387,0.0028896222094266706,0.9958847736625515,0.0052053953253800595
Combined_top100,200,RandomForest,0.9999802371541502,3.952569169958231e-05,0.998192069620641,0.0016870850887228377,0.9967078189300412,0.003079553404752201
Combined_top100,200,GradientBoosting,0.9846616171552233,0.02663596964069152,0.9959160820332681,0.0026452974340284274,0.9925925925925926,0.004799137362012616
Latent_32d,32,LogisticRegression,0.9395355284102088,0.012525463499955373,0.9576237661605497,0.005089549383049668,0.9201646090534978,0.009598274724025186
Latent_32d,32,RandomForest,0.9164797095487632,0.01161141140523745,0.9562689379224482,0.005349208460413906,0.9185185185185185,0.010213723165424576
Latent_32d,32,GradientBoosting,0.9228972689714379,0.008048729798086495,0.9569881187229354,0.004038046267525611,0.9201646090534978,0.007632607815222817
